id,title,content,date,hash_tag
studysemina,안드로이드SNS+이커머스앱스터디세미나(현업19년차개발자가 제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 자바 언어를 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 안드로이드 완전초보자도 지원 가능합니다.6) 6월 25일 화요일 이후 시작할 예정입니다. 7) 3달 스터디세미나 진행하면서 1차 버전 안드로이드 SNS+ECommerce 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.폰이나 카톡이 아닌 메일로만 연락드립니다.",2019.06.19 11:37:25,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #java
dure21,[모집 중] 안드로이드 중급 기술스택 향상을 위한 Meetup | 스터디하자,"아래에 나열된 기술스택을 한번씩 공부해보고자 합니다. 각자 정해진 하나의 주제를 공부하셔서 토요일날 10분씩 발표하는 시간을 가지고자 합니다.발표형식은 자유입니다. 자기가 가장 잘 표현할 수 있는 방식으로 발표하시면 됩니다.코드로 실제 적용한 것을 설명해주셔도 되고 PPT로 설명하시거나참고할 만한 사이트를 보고 설명해주셔도 됩니다.일단 6월 22일부터 시작하고자 합니다.이번 Meetup은 RecyclerView, Retrofit or Volley, Glide or Picasso, Gson or Jackson, Realm or Room or SQLite 정도는 사용 해보신 분을 대상으로 합니다.위의 것들이 정립 안 된 상태에선 이것을 공부하시는 것은 시간낭비일거라 생각하기에 대상을 한정하였습니다.참여하고자 하시는 분은 010-9775-4628로 문자주세요.모임 주제: 안드로이드 기술스택 향상을 위한 발표시작일: 6월 22일(가정)모임 장소: 강남역 or 역삼역모임 요일: 토요일모임 시간: 2시~4시연락처기술스택1. RxJava 2.x2. Dagger23. Kotlin Collections4. Kotiin anko5. Google Guava6. Jetpack - Room, LiveData, ViewModel, lifecycle7. Google AAC8. 마이크로소프트 MVVM",2019.06.18 20:43:46,"#발표스터디 #중급이상가능 #Rxjava #x2Dagger2 #KotlinCollections #KotiinAnko #GoogleGuava #Jetpack #GoogleAAC #마이크로소프트MVVM
"
studysemina,"아이폰 SNS+이커머스앱 스터디세미나(19년차개발자가제작시범,매주진행) | 스터디하자","안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 아이폰 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 스위프트 언어와 오브젝트C 언어를 상황별로 검토해서 둘다 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 아이폰 완전초보자도 지원 가능합니다.6) 6월24일 월요일 이후 시작할 예정입니다. 7) 3~4달 스터디세미나 진행하면서 1차 버전 아이폰 ECommerce+SNS 앱 제작해서 애플 앱스토어 통해서 정식 릴리즈 또는 애플 앱스토어 베타테스트 TestFlight 릴리즈 또는 Adhoc 클로즈테스트 릴리즈 할 예정입니다.8) 모임에 개인 맥북지참하시고 참여하시면 제일 좋고요, 집에 개인 아이맥,맥북, 기타 xcode개발환경 등등 가지고 계신상태에서 모임에 맥북없이 오셔도 참여는 가능합니다. 희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.폰이나 카톡이 아닌 메일로만 연락드립니다.",2019.06.12 11:16:20,#강남 #개발자참여 #아이폰SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #스위프트 #C
hihelper,[초보] Html+ Css & JS 스터디 모집합니다. | 스터디하자,<html+css & JavaScript 스터디 모집>스터디과목 : html+css & JavaScript장소 : 인천시 부평 및 가정동 부근에 있는 토즈(Toz 스터디카페)일시 : 매주 1회 (일요일)진행방식 : 한가지 교제를 정해서 해당 교제를 정해진 진도만큼 학습 후 만나서 라이브 코딩 해보는 방식으로 진행합니다.(간단한 라이브코딩을 리더가 간단하게 시연하면서 설명을 해줄것입니다.)참가비 : 아직미정 스터디 진행을 위하여 필요한 비용(장소예약 등 필요비)을 먼저 지불한 이후 참여 가능합니다. 스터디장점 : 백엔드 개발 가능하신 현업 개발자가 함께하여 생초보 스터디 보다는 배울 수 있는 기회가 많습니다. 예상교제 : 모던 웹을 위한 HTML5+CSS3 바이블 - 3판 윤인성 (지은이) 한빛미디어한주간 예상 진도 ; 약 50~100p 가량을 진행 하면서 함께 학습해 보아요. 참여문의 카카오톡id : hihelper 로 문의 주세요.,2019.06.08 21:13:06,#인천 #html #css #java #개발자참여 #라이브코딩
bitdol89,백석역 백석도서관 스터디모집 | 스터디하자,일산 백석역 백석도서관에서 스터디하려고 합니다시간은 저녁시간을 염두하고 있고 프로그래밍이 아니더라도 자율적으로 공부할 내용 가지고 와서 공부하시면 될것 같아요혼자서는 작심삼일이 될것같아서 스터디모집하게 되었습니다,2019.06.08 03:23:51,#일산 #자율스터디
studysemina,안드로이드SNS+이커머스앱스터디세미나(현업19년차개발자가 제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 자바 언어를 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 안드로이드 완전초보자도 지원 가능합니다.6) 6월 18일 화요일 이후 시작할 예정입니다. 7) 3달 스터디세미나 진행하면서 1차 버전 안드로이드 SNS+ECommerce 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.폰이나 카톡이 아닌 메일로만 연락드립니다.",2019.06.05 10:29:18,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #java
gogo0920,인공지능 머신러닝 강화학습 AI | 스터디하자,초보자 비전공자입니다함께 독려하며 공부했으면 합니다코세라강의 듣는것으로 생각하고있는데 같이 생각해봅시다,2019.05.24 12:52:15,#초보가능 #비전공자 #코세라
pottor7000,(홍대)SQLD 6.8 시험 스터디 모집 | 스터디하자,홍대입구역부근 6.8 sqld 시험 스터디원 모집합니다.,2019.05.19 12:49:39,#홍대입구 #sqld
legnaxz,pocu 3200 같이 들으실분 구합니다. (1/2) | 스터디하자,21만원상당의 pocu 강의 입니다.c++ 언매니지먼트 강의 입니다. 180달러 정도 하고요. 5월 6일 까지 안구해질시 저 혼자 강의 들을 역량도 있습니다.강의에 대한 간략적인 설명은https://pocu.academy/ko <- 에서 보시면됩니다.,2019.05.02 00:50:41,#pocu #유료강의
itstudy136,[자양동]_E-commerce 프로젝트 스터디 모집. | 스터디하자,"안녕하세요. 스프링 기반의 E-commerce를 구축하는 프로젝트 진행 중 같이 열정적으로 진행 해보실 팀원을 모집합니다. 멤버로는 다양한 분야의 IT업계 재직자 6분으로 구성되어있으며,모든 인원은 개발을 기본으로 인프라/공통 라이브러리/배포/소스관리/기획/DB/마케팅/통계/API연동 등의 각자가 관심 있는 부분의 업무를 맡고 스터디하면서 얻는 지식 등을 상호 공유하면서 진행하고 있습니다. E-Commerce 플랫폼 제작을 목적으로 하고 있고, 그 과정으로 소개 및 관리자 페이지 제작 중에 있습니다. 다들 주말에 귀한 시간을 내서 참석하시는 만큼 서로 배우고 공유할 수 있도록 성실하고 열정이 있으신 분이 오셨으면 좋겠습니다.일시 : 매주 토요일 3시~ 6시 오프라인 스터디 진행    장소 : 건대(자양 3동) ※스터디 장소는 멤버 중 한분의 댁에서 진행. 진행방식 : 1) WBS 확인 및 개발 사항 발표.   *각자 준비해온 사항은 10~20분 내외로 발표 및 공유합니다. (사전에 일정 확보)2) 자유롭게 개발 및 토론 진행.3) 모든 인원 차주 예정사항 등 기입 후 마무리 .또한 참여 후 진행되는 내용 및 사용 중인 솔루션은 이미지로 첨부합니다. 재직자 위주의 스터디이며, 희망하시거나 문의가 있으신 분은 itstudy136@gmail.com 으로 자기소개와 [1. 성함/2. 나이/ 3. 경력 / 4. 참여 취지 / 5. 같이 하고 싶은 것 등] 기입 부탁드리겠습니다.감사합니다.",2019.04.25 00:29:14,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능
